x,y
1341,599
1340,599
1339,598
1337,598
1336,597
1334,597
1333,596
1329,596
1328,595
1323,595
1322,594
1319,594
1318,595
1316,595
1315,596
1314,596
1313,597
1312,597
1311,598
1304,598
1303,599
1301,599
1297,603
1296,603
1295,602
1294,602
1293,601
1292,601
1291,600
1290,600
1289,599
1287,599
1286,598
1282,598
1281,597
1280,597
1275,592
1273,592
1268,587
1267,587
1266,586
1264,586
1263,585
1261,585
1256,580
1255,580
1254,579
1252,579
1251,578
1236,578
1235,577
1232,577
1231,576
1226,576
1221,571
1221,570
1220,569
1220,568
1219,567
1219,566
1215,562
1215,561
1211,557
1209,557
1208,556
1201,556
1200,555
1198,555
1197,554
1195,554
1194,553
1192,553
1191,552
1190,552
1189,551
1186,551
1185,550
1182,550
1181,549
1179,549
1178,548
1177,548
1173,544
1172,544
1171,543
1169,543
1168,542
1165,542
1159,536
1159,535
1156,532
1155,532
1154,531
1149,531
1148,530
1141,530
1140,529
1132,529
1131,528
1125,528
1124,527
1112,527
1111,526
1109,526
1108,525
1107,525
1104,522
1105,521
1105,520
1143,349
1144,350
1144,352
1147,355
1144,352
1144,350
1266,311
1268,311
1269,312
1272,312
1269,312
1268,311
394,224
397,224
398,225
408,225
409,226
411,226
412,225
411,226
409,226
408,225
398,225
397,224
572,117
571,118
571,121
568,124
566,124
565,125
556,125
555,126
542,126
541,127
536,127
535,128
524,128
523,129
518,129
517,130
515,130
514,131
482,131
481,130
481,122
482,121
482,120
482,121
481,122
481,130
480,131
477,131
476,132
471,132
470,133
463,133
462,134
455,134
454,135
452,135
450,137
436,137
435,138
434,138
433,139
432,139
429,142
428,142
427,143
421,143
420,144
408,144
407,145
405,145
404,146
402,146
400,148
399,148
394,153
393,153
392,154
390,154
389,155
388,155
387,156
385,156
384,157
380,157
379,158
376,158
375,159
372,159
371,160
367,160
366,161
363,161
362,162
357,162
356,161
356,157
357,156
357,154
358,153
358,151
359,150
359,148
360,147
360,146
361,145
361,141
361,145
360,146
360,147
359,148
359,150
358,151
358,153
357,154
357,156
356,157
356,161
355,162
353,162
352,163
351,163
350,164
349,164
348,165
346,165
344,167
343,167
338,172
338,179
337,180
337,181
335,183
334,183
333,184
330,184
329,185
325,185
324,186
321,186
319,188
318,188
314,192
313,192
308,187
308,177
